CBO,RFC,SLOC,LCOM,DIT,Output
4,28,22,60,3,Accuracy
26,30,393,64,0,Fmes
16,25,68,0,0,Balance
4,60,13,25,2,Balance
15,55,489,85,0,Accuracy
6,60,13,50,0,Balance
1,57,14,100,1,Balance
5,23,19,0,1,Balance
2,67,14,66,1,Balance
2,18,6,0,1,Balance
10,28,120,76,0,Balance
2,14,7,100,0,Balance
25,78,97,0,2,Balance
2,15,16,0,0,Balance
7,28,73,61,1,Balance
6,19,150,0,0,Balance
3,18,35,0,0,Balance
3,16,67,66,0,Balance
17,77,78,50,2,Balance
6,75,41,41,2,Accuracy
12,14,35,0,0,Balance
17,72,84,0,2,Accuracy
8,20,96,66,0,Balance
6,26,17,66,2,Accuracy
18,31,488,59,0,Balance
2,16,15,33,1,Accuracy
27,36,544,78,0,Balance
15,18,84,64,0,Accuracy
12,27,82,75,1,Fmes
4,15,26,50,0,Balance
9,17,28,50,0,Balance
4,17,20,0,0,Balance
26,15,62,0,0,Balance
15,15,50,0,0,Balance
16,39,367,90,0,Balance
32,110,430,57,3,Balance
27,148,140,73,3,Balance
8,44,290,90,1,Gmean1
11,47,401,90,1,Fmes
1,16,472,93,0,Balance
8,50,494,91,1,Gmean1
5,37,153,75,1,Gmean1
26,20,115,33,0,Balance
34,27,318,90,2,Balance
20,109,551,0,3,Balance
9,77,150,0,2,Balance
15,67,25,0,3,Balance
13,18,117,60,1,Gmean1
28,66,89,51,1,precision
5,18,10,0,2,Balance
8,72,11,0,3,Balance
9,68,22,0,2,Balance
24,75,250,89,2,precision
29,74,284,72,3,Balance
11,84,132,0,3,Accuracy
13,84,307,0,4,Accuracy
41,41,103,66,1,Balance
25,18,62,46,0,Accuracy
41,28,342,66,0,Fmes
10,49,44,50,4,Balance
9,43,47,61,3,Balance
12,56,64,71,3,Balance
18,58,149,83,2,Balance
8,41,81,63,2,Fmes
28,58,259,73,2,Balance
8,61,40,0,4,Accuracy
1,14,17,0,0,Balance
7,50,43,0,2,Accuracy
13,62,65,87,4,Fmes
13,60,48,83,4,Balance
9,59,35,80,4,Balance
3,59,60,0,4,Balance
12,65,75,72,4,Balance
4,56,10,50,4,Gmean1
4,58,24,0,1,Balance
2,14,12,0,0,Balance
2,13,18,0,0,Balance
2,15,7,0,1,Balance
4,17,29,41,0,Balance
21,35,130,87,0,precision
4,14,13,0,0,Balance
3,15,20,0,1,Balance
18,23,149,90,0,Balance
6,16,24,0,0,Balance
3,15,8,0,0,Balance
8,23,95,56,0,Balance
10,19,38,33,0,Balance
2,15,9,0,0,Balance
14,21,84,59,0,Balance
11,25,32,0,4,Balance
12,27,11,0,3,Balance
9,23,32,0,2,Balance
1,14,8,0,0,Balance
29,16,63,0,0,Fmes
10,25,66,87,0,Balance
7,15,51,0,0,Balance
9,20,202,0,0,Balance
3,17,19,50,0,Balance
4,22,24,60,2,Fmes
13,37,16,0,4,Fmes
2,25,11,0,2,Balance
7,17,69,0,0,Balance
11,25,42,75,2,Balance
5,25,57,81,1,Gmean1
9,26,41,75,3,Fmes
5,25,13,0,3,Accuracy
5,24,13,0,2,Accuracy
5,24,13,0,2,Accuracy
17,113,124,76,3,Balance
13,15,34,50,0,Balance
9,15,27,33,0,Balance
10,72,30,44,2,Balance
7,16,17,0,0,Balance
4,16,58,33,1,Balance
5,22,53,66,1,Accuracy
