CBO,SLOC,LCOM,DIT,Output
31,323,75,1,Balance
6,12,0,0,Balance
24,162,61,0,Gmes
2,5,0,0,Balance
16,188,0,0,Balance
3,10,0,0,Balance
4,18,50,0,Balance
9,24,0,0,Balance
11,55,67,0,Gmes
16,115,62,0,Balance
11,64,55,0,Balance
3,44,0,0,Balance
2,25,0,0,Balance
3,6,0,0,Balance
9,124,0,0,Balance
5,27,0,0,Balance
3,9,0,0,Balance
14,111,61,0,Balance
31,310,71,0,Balance
9,31,50,0,Gmean1
26,141,0,0,Fmes
9,14,0,1,Balance
5,9,0,1,Balance
5,9,0,1,Balance
21,242,97,0,Balance
10,92,82,1,Gmes
9,62,77,0,Balance
8,21,0,0,Balance
10,16,0,1,Balance
15,24,0,1,Balance
14,309,73,0,Balance
1,100,33,0,Gmean1
9,19,33,0,Fmes
3,17,0,1,Balance
5,12,0,0,Balance
4,10,0,0,Balance
15,128,68,0,Balance
3,8,0,0,Balance
3,36,55,0,Balance
34,152,58,0,Accuracy
14,57,63,1,Balance
3,112,0,0,Balance
6,8,0,0,Balance
13,45,33,0,Balance
14,58,0,0,Fmes
6,11,0,1,Balance
6,14,50,1,Gmean1
9,40,50,1,Balance
4,18,0,0,Balance
24,91,57,0,Accuracy
3,12,0,0,Balance
54,521,93,0,Balance
27,151,68,0,Precision
11,36,0,0,Balance
24,198,64,0,Balance
6,6,0,0,Balance
17,117,53,1,Balance
23,216,78,0,Precision
39,211,88,0,Precision
5,12,0,1,Balance
45,315,82,0,Precision
18,85,0,0,Balance
5,11,0,0,Balance
2,15,33,0,Balance
17,54,43,0,Accuracy
12,38,0,0,Balance
26,105,0,0,Balance
14,24,0,0,Fmes
3,5,0,0,Balance
25,98,88,0,Precision
16,236,0,1,Fmes
10,68,0,0,Balance
13,58,0,0,Balance
8,20,33,0,Balance
20,200,0,1,Fmes
18,148,0,1,Fmes
4,23,50,0,Balance
13,75,0,0,Fmes
19,47,0,1,Fmes
2,11,0,0,Balance
9,46,50,0,Fmes
4,15,0,0,Balance
10,150,0,0,Balance
9,20,0,0,Balance
16,42,0,0,Balance
8,35,25,0,Balance
4,15,0,0,Balance
3,6,0,0,Balance
3,23,40,0,Balance
7,38,40,0,Balance
4,21,0,0,Balance
13,59,73,0,Balance
0,5,0,0,Balance
9,16,0,0,Balance
2,7,100,0,Balance
2,9,100,1,Balance
4,8,0,0,Balance
7,26,0,0,Balance
24,229,0,0,Fmes
27,125,54,0,Balance
13,143,100,0,Gmes
7,13,0,0,Balance
11,69,79,0,Gmes
3,16,0,0,Balance
4,60,0,0,Balance
32,550,94,0,Balance
63,443,86,0,Balance
3,17,0,0,Balance
51,229,68,0,Precision
7,40,50,0,Fmes
15,127,42,0,Balance
10,27,0,0,Balance
34,589,92,0,Precision
5,13,0,0,Balance
10,39,60,0,Fmes
6,29,0,0,Balance
11,33,0,0,Balance
9,26,0,0,Balance
3,15,75,0,Balance
42,327,83,0,Balance
35,87,22,1,Balance
8,48,0,0,Balance
4,37,0,0,Balance
3,6,0,0,Balance
2,14,0,0,Balance
3,6,0,0,Balance
3,7,0,0,Balance
2,20,25,0,Balance
3,33,0,0,Balance
2,21,0,0,Balance
2,6,0,0,Balance
2,11,0,0,Balance
3,51,0,0,Balance
2,16,0,0,Balance
3,13,0,0,Balance
3,19,0,0,Balance
5,24,0,0,Balance
22,29,0,1,Balance
41,365,65,0,Balance
8,48,0,0,Balance
13,54,33,1,Balance
6,22,0,1,Balance
11,46,0,1,Balance
3,30,0,0,Balance
15,47,92,0,Balance
5,9,0,1,Balance
13,25,0,1,Balance
23,130,70,0,Balance
2,13,0,0,Balance
7,59,54,0,Balance
17,70,33,0,Accuracy
3,10,0,0,Balance
15,374,91,0,Balance
9,114,66,0,Balance
36,324,56,0,Balance
13,155,91,0,Balance
6,11,0,0,Balance
15,68,66,0,Accuracy
48,382,87,0,Balance
7,32,0,0,Balance
15,76,62,0,Balance
25,102,31,0,Accuracy
9,24,0,0,Balance
6,9,0,1,Balance
8,25,0,0,Balance
8,44,55,0,Fmes
26,186,70,0,Balance
11,36,0,0,Balance
25,208,48,0,Accuracy
4,9,0,0,Balance
26,202,40,0,Accuracy
10,26,0,0,Balance
10,27,0,0,Balance
29,168,80,0,Balance
5,23,0,0,Balance
5,50,40,0,Balance
1,10,0,0,Balance
23,120,68,0,Balance
4,57,56,0,Balance
11,20,0,1,Balance
18,46,75,1,Balance
18,201,0,1,Fmes
3,17,37,0,Fmes
3,27,60,0,Balance
5,30,66,0,Balance
1,8,0,0,Balance
2,31,33,0,Fmes
2,55,60,0,Balance
8,19,50,0,Fmes
3,27,0,0,Balance
2,34,0,0,Balance
4,60,0,0,Balance
7,12,0,0,Balance
31,255,82,0,Balance
8,33,0,0,Balance
2,23,50,0,Balance
9,76,0,0,Balance
3,25,0,0,Balance
5,77,16,0,Balance
4,13,0,0,Balance
3,16,33,0,Fmes
5,24,0,0,Balance
10,56,76,0,Balance
4,31,0,0,Balance
4,52,25,0,Balance
2,56,0,0,Balance
2,44,40,0,Gmean1
33,327,91,0,Balance
7,83,37,0,Fmes
28,203,46,0,Balance
83,829,93,1,Balance
3,17,0,0,Balance
5,18,0,0,Balance
13,51,0,0,Balance
43,308,85,1,Balance
10,96,75,2,Balance
86,591,97,0,Balance
0,5,0,0,Balance
8,25,0,0,Balance
8,25,0,0,Balance
