Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
net.sf.jabref.external.WriteXMPAction.OptionsDialog,24,0,3,753,67,25,0,yes
net.sf.jabref.external.WriteXMPEntryEditorAction,22,0,2,35,94,16,0,no
net.sf.jabref.external.WriteXMPEntryEditorAction.WriteXMPWorker,11,0,2,20,46,0,1,yes
net.sf.jabref.FileBasedTestCase,12,1,2,15,70,16,0,no
net.sf.jabref.FileBasedTestHelper,3,0,3,16,30,0,0,no
net.sf.jabref.Globals,15,0,4,17,47,92,0,yes
net.sf.jabref.groups.AddToGroupAction,16,0,5,38,85,40,0,yes
net.sf.jabref.groups.AutoGroupDialog,30,0,3,753,134,70,0,yes
net.sf.jabref.groups.EntryTableTransferHandler,41,0,14,49,204,78,0,yes
net.sf.jabref.groups.GroupDialog,52,0,14,764,436,84,0,yes
net.sf.jabref.groups.GroupMatcher,2,0,1,14,7,100,0,no
net.sf.jabref.groups.GroupSelector,98,0,30,52,1162,91,2,yes
net.sf.jabref.groups.GroupSelector.AddGroupAction,17,0,2,38,27,0,1,yes
net.sf.jabref.groups.GroupSelector.AddSubgroupAction,16,0,2,38,23,0,1,yes
net.sf.jabref.groups.GroupSelector.CollapseSubtreeAction,8,0,2,38,11,0,1,no
net.sf.jabref.groups.GroupSelector.EditGroupAction,16,0,2,38,30,0,1,no
net.sf.jabref.groups.GroupSelector.ExpandSubtreeAction,8,0,2,38,12,0,1,no
net.sf.jabref.groups.GroupSelector.GroupingWorker,14,0,3,21,38,33,1,yes
net.sf.jabref.groups.GroupSelector.MoveNodeDownAction,5,0,2,38,9,0,1,no
net.sf.jabref.groups.GroupSelector.MoveNodeLeftAction,5,0,2,38,9,0,1,no
net.sf.jabref.groups.GroupSelector.MoveNodeRightAction,5,0,2,38,9,0,1,yes
net.sf.jabref.groups.GroupSelector.MoveNodeUpAction,5,0,2,38,9,0,1,no
net.sf.jabref.groups.GroupSelector.NodeAction,5,14,3,36,18,33,0,yes
net.sf.jabref.groups.GroupSelector.RemoveGroupAndSubgroupsAction,13,0,2,38,21,0,1,no
net.sf.jabref.groups.GroupSelector.RemoveGroupKeepSubgroupsAction,13,0,2,38,25,0,1,no
net.sf.jabref.groups.GroupSelector.RemoveSubgroupsAction,13,0,2,38,21,0,1,no
net.sf.jabref.groups.GroupSelector.SortAllSubgroupsAction,11,0,2,38,14,0,1,no
net.sf.jabref.groups.GroupSelector.SortDirectSubgroupsAction,11,0,2,38,14,0,1,no
net.sf.jabref.groups.GroupsTree,46,0,25,868,327,93,0,yes
net.sf.jabref.groups.GroupTreeCellRenderer,23,1,5,776,130,70,0,yes
net.sf.jabref.groups.GroupTreeNode,21,0,31,100,242,97,0,yes
net.sf.jabref.groups.RemoveFromGroupAction,10,0,5,38,37,40,0,yes
net.sf.jabref.groups.structure.AbstractGroup,11,4,21,34,70,94,0,no
net.sf.jabref.groups.structure.AllEntriesGroup,10,0,17,51,92,82,1,no
net.sf.jabref.groups.structure.AllEntriesGroupTest,1,0,1,14,5,0,0,no
net.sf.jabref.groups.structure.ExplicitGroup,20,0,25,59,216,68,1,no
net.sf.jabref.groups.structure.ExplicitGroupTest,7,0,4,17,24,0,0,no
net.sf.jabref.groups.structure.KeywordGroup,28,0,25,59,334,70,1,no
net.sf.jabref.groups.structure.KeywordGroupTest,2,0,2,15,13,0,0,no
net.sf.jabref.groups.structure.SearchGroup,23,0,20,54,162,77,1,no
net.sf.jabref.groups.structure.SearchGroupTest,2,0,2,15,13,0,0,no
net.sf.jabref.groups.structure.UnsupportedVersionException,3,0,1,45,5,0,0,no
net.sf.jabref.groups.TransferableEntrySelection,9,0,6,19,62,77,0,yes
net.sf.jabref.groups.UndoableAddOrRemoveGroup,7,0,8,34,100,72,0,yes
net.sf.jabref.groups.UndoableChangeAssignment,9,0,7,33,50,64,0,yes
net.sf.jabref.groups.UndoableModifyGroup,6,0,5,31,39,48,0,no
net.sf.jabref.groups.UndoableModifySubtree,7,0,6,32,59,54,0,yes
net.sf.jabref.groups.UndoableMoveGroup,7,0,5,31,48,40,0,no
net.sf.jabref.groups.UndoableResetGroups,8,0,6,32,47,54,0,yes
net.sf.jabref.gui.actions.Actions,1,0,0,13,60,0,0,no
net.sf.jabref.gui.actions.AutoLinkFilesAction,18,0,2,35,36,0,0,no
net.sf.jabref.gui.actions.BiblatexCleanup,9,0,1,14,30,0,0,no
net.sf.jabref.gui.actions.BrowseAction,13,0,8,41,48,71,0,no
net.sf.jabref.gui.actions.ChangeTypeAction,4,0,2,35,13,0,0,no
net.sf.jabref.gui.actions.CleanUpAction,37,0,25,43,342,86,1,yes
net.sf.jabref.gui.actions.CopyAction,8,0,2,35,21,0,0,yes
net.sf.jabref.gui.actions.EditModeAction,7,0,5,38,26,0,0,no
net.sf.jabref.gui.actions.ErrorConsoleAction,14,0,5,38,38,60,0,no
net.sf.jabref.gui.actions.FileEntryCleaner,10,0,1,14,33,0,0,no
