CBO,NOC,RFC,SLOC,DIT,LCOM,WMC,Change
4,0,9,6,2,0,1,no
4,0,9,6,2,0,1,no
0,0,1,5,1,0,1,no
6,0,4,98,1,50,15,no
0,0,1,5,1,0,1,no
1,0,3,25,2,0,4,no
4,0,16,74,2,25,18,no
4,17,20,83,1,90,21,no
0,0,5,25,2,0,6,no
1,0,24,21,2,50,4,no
1,0,24,57,2,71,13,no
1,0,2,60,2,16,9,no
0,0,6,62,2,45,11,no
9,9,22,36,2,0,11,no
2,0,6,65,2,72,10,no
8,0,7,208,2,90,25,no
3,0,8,6,2,0,1,no
4,3,7,39,1,71,7,no
0,0,5,24,1,40,5,no
3,0,8,6,2,0,1,no
3,0,8,6,2,0,1,no
6,1,27,103,2,50,26,no
2,0,7,76,2,71,14,no
0,0,2,14,2,0,2,no
9,0,28,526,1,89,62,no
2,0,4,49,1,60,12,no
2,0,2,60,1,47,2,no
6,0,3,103,1,61,14,no
0,1,12,53,1,77,15,no
1,0,9,38,2,0,9,no
3,0,23,215,2,67,55,no
2,0,16,233,1,84,45,no
1,4,17,56,1,90,17,no
8,0,34,672,2,88,130,yes
1,0,4,6,2,0,1,no
1,0,4,6,2,0,1,no
1,0,4,6,2,0,1,no
2,3,3,15,1,33,3,no
1,0,15,141,1,86,39,yes
1,0,16,148,2,86,31,no
2,0,13,121,2,77,19,no
0,0,19,155,2,67,28,no
1,0,28,1165,1,98,111,no
2,0,13,654,1,78,173,no
2,0,5,114,1,50,40,no
1,0,17,278,2,84,69,no
0,0,1,9,1,0,1,no
1,0,9,124,1,61,17,yes
2,0,5,23,1,60,5,no
6,0,6,42,1,44,6,no
15,0,31,763,1,88,79,yes
7,0,4,77,1,0,12,yes
0,0,1,24,1,0,3,no
3,0,2,25,1,33,2,no
2,0,1,8,2,0,1,no
8,0,5,108,1,50,14,no
2,0,5,34,1,44,7,no
7,0,6,63,1,41,9,no
13,0,27,1553,1,85,229,yes
0,0,1,18,1,0,2,no
14,0,6,153,1,62,22,yes
1,0,2,12,1,0,2,no
3,0,2,67,1,0,2,yes
5,0,4,55,2,0,13,yes
3,0,2,30,1,0,2,yes
4,0,2,33,1,0,2,no
