Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.examples.page.springsecurity.CreateAccountPage,17,0,3,64,2,43,70,no
org.apache.click.examples.page.springsecurity.LoginPage,0,0,0,61,2,0,3,no
org.apache.click.examples.page.springsecurity.LogoutPage,4,0,1,62,2,100,9,no
org.apache.click.examples.page.springsecurity.NotAuthorizedPage,0,0,0,61,2,0,3,no
org.apache.click.examples.page.springsecurity.secure.SecurePage,0,0,0,61,2,0,3,no
org.apache.click.examples.page.table.EditFormTablePage,28,0,9,70,2,74,129,yes
org.apache.click.examples.page.table.EditTable,23,0,7,68,2,64,89,yes
org.apache.click.examples.page.table.FormTablePage,18,0,5,66,2,80,64,yes
org.apache.click.examples.page.table.LargeDatasetDemo,5,0,1,62,2,66,40,yes
org.apache.click.examples.page.table.SearchTablePage,22,0,6,67,2,79,82,yes
org.apache.click.examples.page.table.TableDecorator,13,0,3,64,2,57,66,yes
org.apache.click.examples.page.table.TableFooter,12,0,2,63,2,66,51,yes
org.apache.click.examples.page.table.TablePaginatorPage,9,0,3,64,2,53,46,yes
org.apache.click.examples.page.table.TablePaging,5,0,1,62,2,66,33,yes
org.apache.click.examples.page.table.TableSorting,4,0,1,62,2,100,38,no
org.apache.click.examples.page.table.TableStyles,12,0,4,65,2,62,62,yes
org.apache.click.examples.page.tree.AdvancedTreePage,15,0,16,77,2,83,133,yes
org.apache.click.examples.page.tree.AdvancedTreePage.TreeOptions,0,0,0,13,0,0,4,no
org.apache.click.examples.page.tree.CheckboxTreePage,17,0,16,77,2,86,148,yes
org.apache.click.examples.page.tree.CheckboxTreePage.CheckboxTreeOptions,0,0,0,13,0,0,5,no
org.apache.click.examples.page.tree.PageLinkTreePage,11,0,3,72,3,83,41,yes
org.apache.click.examples.page.tree.TreePage,5,1,8,69,2,79,76,yes
org.apache.click.examples.page.velocity.ActionTable,15,0,4,65,2,71,31,yes
org.apache.click.examples.page.velocity.SimpleTable,4,0,1,62,2,100,8,no
org.apache.click.examples.page.velocity.VelocityMacro,14,0,1,62,2,50,25,yes
org.apache.click.examples.page.wizard.SelectPostCode,10,0,2,63,2,50,32,yes
org.apache.click.examples.page.wizard.Step,13,3,18,129,4,89,114,yes
org.apache.click.examples.page.wizard.Step1,9,0,2,131,5,100,22,yes
org.apache.click.examples.page.wizard.Step2,14,0,4,133,5,66,56,yes
org.apache.click.examples.page.wizard.Step2.Div,2,0,1,80,2,100,6,no
org.apache.click.examples.page.wizard.Step3,10,0,4,133,5,100,30,yes
org.apache.click.examples.page.wizard.WizardPage,13,0,10,71,2,70,78,yes
org.apache.click.examples.quartz.ExampleJob,5,0,1,14,0,0,14,no
org.apache.click.examples.quartz.JobAndSimpleTrigger,4,0,8,21,0,62,75,no
