Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.zookeeper.KeeperException.SystemErrorException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.UnimplementedException,1,0,1,59,4,1,0,yes
org.apache.zookeeper.Login,18,0,14,27,272,0,85,yes
org.apache.zookeeper.MockPacket,3,0,3,20,16,1,0,no
org.apache.zookeeper.MultiResponse,16,0,8,21,107,0,0,yes
org.apache.zookeeper.MultiResponseTest,13,0,3,16,33,1,0,yes
org.apache.zookeeper.MultiTransactionRecord,11,0,9,22,111,0,33,yes
org.apache.zookeeper.MultiTransactionRecordTest,13,0,3,16,32,1,0,yes
org.apache.zookeeper.Op,10,4,11,24,171,0,77,no
org.apache.zookeeper.Op.Check,5,0,5,29,25,1,0,no
org.apache.zookeeper.Op.Create,11,0,7,31,54,1,19,yes
org.apache.zookeeper.Op.Delete,5,0,5,29,26,1,0,no
org.apache.zookeeper.Op.SetData,6,0,5,29,28,1,0,no
org.apache.zookeeper.OpResult,0,5,2,15,104,0,0,no
org.apache.zookeeper.OpResult.CheckResult,3,0,3,18,15,1,0,no
org.apache.zookeeper.OpResult.CreateResult,4,0,4,19,20,1,0,yes
org.apache.zookeeper.OpResult.DeleteResult,3,0,3,18,15,1,0,no
org.apache.zookeeper.OpResult.ErrorResult,3,0,4,19,20,1,0,no
org.apache.zookeeper.OpResult.SetDataResult,3,0,4,19,20,1,0,no
org.apache.zookeeper.PortAssignment,1,0,1,14,8,0,0,yes
org.apache.zookeeper.Quotas,1,0,2,15,14,0,50,no
org.apache.zookeeper.recipes.leader.LeaderElectionSupport,26,0,21,34,204,0,64,yes
org.apache.zookeeper.recipes.leader.LeaderElectionSupportTest,19,0,12,59,158,2,69,yes
org.apache.zookeeper.recipes.leader.LeaderOffer,3,0,9,22,41,0,55,no
org.apache.zookeeper.recipes.leader.LeaderOffer.IdComparator,3,0,1,14,5,0,0,no
org.apache.zookeeper.recipes.lock.ProtocolSupport,14,1,13,26,87,0,80,no
org.apache.zookeeper.recipes.lock.WriteLock,15,0,9,35,155,1,82,no
org.apache.zookeeper.recipes.lock.WriteLock.LockWatcher,3,0,1,14,10,0,0,no
org.apache.zookeeper.recipes.lock.WriteLock.LockZooKeeperOperation,15,0,2,15,69,0,0,no
org.apache.zookeeper.recipes.lock.WriteLockTest,12,0,4,51,96,2,71,no
org.apache.zookeeper.recipes.lock.WriteLockTest.LockCallback,2,0,2,15,6,0,0,no
org.apache.zookeeper.recipes.lock.ZNodeName,7,0,8,21,61,0,59,no
org.apache.zookeeper.recipes.lock.ZNodeNameTest,6,0,3,16,27,1,0,yes
org.apache.zookeeper.recipes.queue.DistributedQueue,16,0,9,22,171,0,51,no
org.apache.zookeeper.recipes.queue.DistributedQueue.LatchChildWatcher,4,0,3,16,13,0,0,no
org.apache.zookeeper.recipes.queue.DistributedQueueTest,6,0,15,62,212,2,0,no
org.apache.zookeeper.retry.ZooKeeperRetry,14,0,16,85,215,1,39,no
org.apache.zookeeper.server.auth.DigestAuthenticationProvider,10,0,9,22,90,0,88,no
org.apache.zookeeper.server.auth.DigestLoginModule,5,0,5,18,25,0,80,no
org.apache.zookeeper.server.auth.IPAuthenticationProvider,8,0,8,21,82,0,0,yes
org.apache.zookeeper.server.auth.KerberosName,17,0,11,24,261,0,81,no
org.apache.zookeeper.server.auth.KerberosName.BadFormatString,1,0,2,50,8,0,0,no
org.apache.zookeeper.server.auth.KerberosName.NoMatchingRule,1,0,1,49,5,0,0,no
org.apache.zookeeper.server.auth.KerberosName.Rule,11,0,6,19,115,0,33,no
org.apache.zookeeper.server.auth.ProviderRegistry,13,0,3,16,45,0,33,yes
org.apache.zookeeper.server.auth.SASLAuthenticationProvider,7,0,5,18,28,0,0,yes
org.apache.zookeeper.server.auth.SaslServerCallbackHandler,19,0,9,22,94,0,77,no
org.apache.zookeeper.server.ByteBufferInputStream,6,0,7,30,47,0,28,yes
org.apache.zookeeper.server.ByteBufferOutputStream,5,0,5,24,24,0,19,no
org.apache.zookeeper.server.ConnectionBean,17,0,23,36,110,0,79,yes
org.apache.zookeeper.server.CRCTest,35,0,4,18,103,1,66,no
