classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-org-gjt-sp-jedit-bsh-BSHType-BSHType.java,20,0,9,40,110,1,72,no
jEdit-org-gjt-sp-jedit-bsh-BSHTypedVariableDeclaration-BSHTypedVariableDeclaration.java,11,0,6,37,55,1,83,no
jEdit-org-gjt-sp-jedit-bsh-BSHUnaryExpression-BSHUnaryExpression.java,18,0,5,36,79,1,70,no
jEdit-org-gjt-sp-jedit-bsh-BSHVariableDeclarator-BSHVariableDeclarator.java,7,0,3,34,27,1,66,no
jEdit-org-gjt-sp-jedit-bsh-BSHWhileStatement-BSHWhileStatement.java,6,0,2,33,47,1,50,no
jEdit-org-gjt-sp-jedit-bsh-CallStack-CallStack.java,6,0,13,26,60,0,30,no
jEdit-org-gjt-sp-jedit-bsh-Capabilities-Capabilities.java,6,0,5,18,50,0,70,no
jEdit-org-gjt-sp-jedit-bsh-Capabilities-Unavailable.java,1,0,1,49,3,1,0,no
jEdit-org-gjt-sp-jedit-bsh-ClassGenerator-ClassGenerator.java,14,1,4,17,30,0,75,no
jEdit-org-gjt-sp-jedit-bsh-ClassGeneratorImpl-ClassGeneratorImpl.java,36,0,7,24,223,1,0,no
jEdit-org-gjt-sp-jedit-bsh-ClassGeneratorImpl-ClassNodeFilter.java,6,0,3,16,37,0,76,no
jEdit-org-gjt-sp-jedit-bsh-ClassGeneratorUtil-ClassGeneratorUtil.java,43,0,22,35,701,0,89,no
jEdit-org-gjt-sp-jedit-bsh-ClassGeneratorUtil-ConstructorArgs.java,9,0,12,25,21,0,91,no
jEdit-org-gjt-sp-jedit-bsh-ClassIdentifier-ClassIdentifier.java,2,0,3,16,13,0,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassLoader-BshClassLoader.java,8,1,7,115,63,0,71,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-BshClassPath.java,35,0,49,62,524,0,93,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-AmbiguousName.java,3,0,2,15,9,0,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-ClassSource.java,1,3,1,14,4,0,100,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-DirClassSource.java,7,0,5,19,26,1,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-GeneratedClassSource.java,1,0,2,16,6,1,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-JarClassSource.java,3,0,4,18,7,1,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-BshClassPath-UnqualifiedNameTable.java,3,0,1,83,17,0,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-ClassManagerImpl-ClassManagerImpl.java,39,0,22,67,257,1,82,no
jEdit-org-gjt-sp-jedit-bsh-classpath-DiscreteFilesClassLoader-ClassSourceMap.java,6,0,3,118,32,1,0,no
jEdit-org-gjt-sp-jedit-bsh-classpath-DiscreteFilesClassLoader-DiscreteFilesClassLoader.java,2,0,2,84,9,0,0,no
jEdit-org-gjt-sp-jedit-bsh-ClassPathException-ClassPathException.java,1,0,1,49,3,1,0,no
jEdit-org-gjt-sp-jedit-bsh-collection-CollectionIterator-CollectionIterator.java,4,0,4,17,25,0,25,no
jEdit-org-gjt-sp-jedit-bsh-collection-CollectionManagerImpl-CollectionManagerImpl.java,7,0,4,23,26,1,0,no
jEdit-org-gjt-sp-jedit-bsh-CollectionManager-CollectionManager.java,8,1,6,19,88,0,83,no
jEdit-org-gjt-sp-jedit-bsh-CollectionManager-BasicBshIterator.java,8,0,4,17,42,0,25,no
jEdit-org-gjt-sp-jedit-bsh-CommandLineReader-CommandLineReader.java,6,0,4,38,42,0,75,no
jEdit-org-gjt-sp-jedit-bsh-commands-dir-dir.java,10,0,3,16,66,0,66,no
jEdit-org-gjt-sp-jedit-bsh-DelayedEvalBshMethod-DelayedEvalBshMethod.java,11,0,5,32,47,1,53,no
jEdit-org-gjt-sp-jedit-bsh-EvalError-EvalError.java,4,2,12,56,87,0,63,no
jEdit-org-gjt-sp-jedit-bsh-ExternalNameSpace-ExternalNameSpace.java,14,0,15,102,104,1,46,no
jEdit-org-gjt-sp-jedit-bsh-InterpreterError-InterpreterError.java,45,0,58,71,624,0,93,no
jEdit-org-gjt-sp-jedit-bsh-Interpreter-Interpreter.java,1,0,1,50,7,0,0,no
jEdit-org-gjt-sp-jedit-bsh-JavaCharStream-JavaCharStream.java,8,0,31,44,446,0,80,no
jEdit-org-gjt-sp-jedit-bsh-JJTParserState-JJTParserState.java,4,0,12,25,80,0,48,no
jEdit-org-gjt-sp-jedit-bsh-JThis-JThis.java,39,0,86,110,155,1,0,no
jEdit-org-gjt-sp-jedit-bsh-LHS-LHS.java,19,0,9,22,156,0,59,no
jEdit-org-gjt-sp-jedit-bsh-Modifiers-Modifiers.java,4,0,7,20,65,0,78,no
jEdit-org-gjt-sp-jedit-bsh-Name-Name.java,26,0,19,32,538,0,81,no
jEdit-org-gjt-sp-jedit-bsh-NameSpace-NameSpace.java,34,2,74,87,804,0,95,no
jEdit-org-gjt-sp-jedit-bsh-NameSpace-CommandPathEntry.java,2,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-ByteVector-ByteVector.java,4,0,11,24,143,0,9,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-ClassWriter-ClassWriter.java,11,0,22,35,397,0,93,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-CodeWriter-CodeWriter.java,10,0,31,44,967,0,85,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-Edge-Edge.java,1,0,0,13,6,0,0,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-Item-Item.java,2,0,8,21,97,0,60,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-Label-Label.java,7,0,4,17,102,0,75,no
jEdit-org-gjt-sp-jedit-bsh-org-objectweb-asm-Type-Type.java,13,0,23,36,301,0,88,no
jEdit-org-gjt-sp-jedit-bsh-ParseException-ParseException.java,5,0,11,67,148,1,72,no
jEdit-org-gjt-sp-jedit-bsh-Parser-LookaheadSuccess.java,0,0,0,44,1,0,0,no
jEdit-org-gjt-sp-jedit-bsh-ParserTokenManager-ParserTokenManager.java,8,0,50,63,2098,0,90,no
jEdit-org-gjt-sp-jedit-bsh-Primitive-Primitive.java,20,0,44,57,714,0,84,no
jEdit-org-gjt-sp-jedit-bsh-Primitive-Special.java,0,0,1,14,6,0,100,no
jEdit-org-gjt-sp-jedit-bsh-Reflect-Reflect.java,41,0,40,53,595,0,0,no
