Kind,Name,CBO,NOC,SLOC,LCOM,DIT,RFC,WMC,CHANGE
Public Class,net.sourceforge.subsonic.service.jukebox.PlayerTest,15,0,56,80,0,18,5,no
Public Class,net.sourceforge.subsonic.service.JukeboxService,23,0,130,83,0,29,16,no
Public Class,net.sourceforge.subsonic.service.LastFmCache,12,0,90,68,1,24,11,yes
Public Class,net.sourceforge.subsonic.service.LastFmService,19,0,158,80,0,26,13,yes
Public Class,net.sourceforge.subsonic.service.MediaFileService,32,0,406,87,0,61,48,no
Public Class,net.sourceforge.subsonic.service.MediaScannerService,28,0,277,83,0,33,20,yes
Public Class,net.sourceforge.subsonic.service.metadata.DefaultMetaDataParser,4,0,18,0,1,27,4,no
Public Class,net.sourceforge.subsonic.service.metadata.FFmpegParser,23,0,78,76,1,28,5,no
Public Class,net.sourceforge.subsonic.service.metadata.JaudiotaggerParser,17,0,196,86,1,36,13,no
Public Class,net.sourceforge.subsonic.service.metadata.MediaFileTestCase,3,0,29,0,1,15,2,no
Public Class,net.sourceforge.subsonic.service.metadata.MetaData,2,0,93,92,0,39,26,no
Public Abstract Class,net.sourceforge.subsonic.service.metadata.MetaDataParser,9,4,67,0,0,23,10,no
Public Class,net.sourceforge.subsonic.service.metadata.MetaDataParserFactory,3,0,14,0,0,15,2,no
Public Class,net.sourceforge.subsonic.service.metadata.MetaDataParserTestCase,2,0,53,0,1,14,1,no
Public Class,net.sourceforge.subsonic.service.MusicIndexService,28,0,163,66,0,28,15,yes
Private Static Class,net.sourceforge.subsonic.service.MusicIndexService.MusicIndexComparator,3,0,22,0,0,15,2,no
Public Class,net.sourceforge.subsonic.service.MusicIndexServiceTestCase,4,0,36,0,1,15,2,no
Public Class,net.sourceforge.subsonic.service.NetworkService,13,0,216,88,0,21,8,yes
Private Class,net.sourceforge.subsonic.service.NetworkService.PortForwardingTask,11,0,67,0,1,17,2,no
Public Static Class,net.sourceforge.subsonic.service.NetworkService.Status,2,0,14,33,0,16,3,no
Private Abstract Class,net.sourceforge.subsonic.service.NetworkService.Task,5,2,10,0,0,15,2,no
Private Class,net.sourceforge.subsonic.service.NetworkService.URLRedirectionTask,14,0,70,0,1,17,2,yes
Public Class,net.sourceforge.subsonic.service.PlayerService,13,0,173,84,0,31,18,yes
Public Class,net.sourceforge.subsonic.service.PlaylistService,35,0,362,85,0,42,29,no
Private Class,net.sourceforge.subsonic.service.PlaylistService.M3UFormat,9,0,27,0,1,19,2,no
Private Static Class,net.sourceforge.subsonic.service.PlaylistService.PlaylistComparator,3,0,5,0,0,14,1,no
Private Abstract Class,net.sourceforge.subsonic.service.PlaylistService.PlaylistFormat,14,3,42,0,0,17,4,no
Private Class,net.sourceforge.subsonic.service.PlaylistService.PLSFormat,11,0,34,0,1,19,2,no
Private Class,net.sourceforge.subsonic.service.PlaylistService.XSPFFormat,11,0,44,0,1,19,2,no
Public Class,net.sourceforge.subsonic.service.PodcastService,45,0,459,88,0,45,32,yes
Public Class,net.sourceforge.subsonic.service.RatingService,11,0,37,58,0,21,8,no
Public Class,net.sourceforge.subsonic.service.SearchService,31,0,432,88,0,34,21,no
Private Class,net.sourceforge.subsonic.service.SearchService.SubsonicAnalyzer,6,0,30,0,1,16,3,no
Class,net.sourceforge.subsonic.service.SearchService.SubsonicAnalyzer.reusableTokenStream.SavedStreams,0,0,4,0,0,13,0,no
Public Class,net.sourceforge.subsonic.service.SecurityService,11,0,126,78,0,36,23,yes
Public Class,net.sourceforge.subsonic.service.SecurityServiceTestCase,1,0,26,0,1,14,1,no
Public Class,net.sourceforge.subsonic.service.ServiceLocator,2,0,18,60,0,18,5,no
Public Class,net.sourceforge.subsonic.service.SettingsService,53,0,944,98,0,185,172,yes
Public Class,net.sourceforge.subsonic.service.SettingsServiceTestCase,9,0,104,40,1,18,5,yes
Public Class,net.sourceforge.subsonic.service.ShareService,15,0,73,78,0,26,13,yes
Class,net.sourceforge.subsonic.service.sonos.AlbumList,1,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.service.sonos.SonosFaultInterceptor,10,0,23,50,1,15,2,no
Public Class,net.sourceforge.subsonic.service.sonos.SonosHelper,44,0,548,90,0,65,52,yes
Public Class,net.sourceforge.subsonic.service.sonos.SonosServiceRegistration,8,0,49,66,0,16,3,yes
Public Class,net.sourceforge.subsonic.service.sonos.SonosSoapFault,1,2,24,33,0,52,3,no
Public Static Class,net.sourceforge.subsonic.service.sonos.SonosSoapFault.LoginInvalid,0,0,4,0,1,53,1,no
Public Static Class,net.sourceforge.subsonic.service.sonos.SonosSoapFault.LoginUnauthorized,0,0,4,0,1,53,1,no
Public Class,net.sourceforge.subsonic.service.SonosService,35,0,359,95,0,49,36,yes
Public Class,net.sourceforge.subsonic.service.StatusService,17,0,111,76,0,27,14,no
Public Class,net.sourceforge.subsonic.service.StatusServiceTestCase,6,0,40,0,1,16,3,no
Public Class,net.sourceforge.subsonic.service.TranscodingService,27,0,281,84,0,36,23,no
Public Static Class,net.sourceforge.subsonic.service.TranscodingService.Parameters,4,0,38,78,0,23,10,no
Public Class,net.sourceforge.subsonic.service.upnp.ApacheUpnpServiceConfiguration,2,0,10,0,1,15,2,no
Public Class,net.sourceforge.subsonic.service.upnp.ClingRouter,9,0,82,62,0,21,8,no
