Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
com.logicaldoc.core.searchengine.FulltextSearchOptions,4,0,26,75,93,92,1,yes
com.logicaldoc.core.searchengine.FulltextSearchTest,19,0,4,23,106,62,1,yes
com.logicaldoc.core.searchengine.Hit,4,0,7,171,44,66,4,no
com.logicaldoc.core.searchengine.Hits,16,0,11,24,90,59,0,no
com.logicaldoc.core.searchengine.IndexerTask,20,0,8,56,101,77,1,yes
com.logicaldoc.core.searchengine.IndexOptimizer,7,0,8,56,44,70,1,no
com.logicaldoc.core.searchengine.LanguageProcessor,6,0,2,15,11,0,1,yes
com.logicaldoc.core.searchengine.LanguageProcessorFactory,2,0,1,14,6,0,1,no
com.logicaldoc.core.searchengine.Search,29,3,13,26,160,83,0,no
com.logicaldoc.core.searchengine.SearchOptions,14,2,36,49,142,95,0,no
com.logicaldoc.core.searchengine.StandardSearchEngine,34,0,21,34,343,73,0,yes
com.logicaldoc.core.searchengine.StandardSearchEngineTest,11,0,7,26,99,50,1,yes
com.logicaldoc.core.searchengine.TagSearch,19,0,4,30,126,0,1,yes
com.logicaldoc.core.searchengine.TagSearch.HitMapper,8,0,1,14,52,0,0,yes
com.logicaldoc.core.searchengine.TagSearchTest,7,0,1,20,38,0,1,no
com.logicaldoc.core.security.authentication.AccountDisabledException,1,0,2,53,9,100,1,no
com.logicaldoc.core.security.authentication.AccountNotFoundException,1,0,2,53,9,100,1,no
com.logicaldoc.core.security.authentication.AuthenticationChain,24,0,7,20,104,78,0,no
com.logicaldoc.core.security.authentication.AuthenticationException,1,4,2,51,9,100,0,no
com.logicaldoc.core.security.authentication.DefaultAuthentication,11,0,6,19,39,66,0,no
com.logicaldoc.core.security.authentication.PasswordExpiredException,1,0,2,53,9,100,1,no
com.logicaldoc.core.security.authentication.WrongPasswordException,1,0,2,53,9,100,1,no
com.logicaldoc.core.security.Client,2,0,11,24,49,60,0,no
com.logicaldoc.core.security.dao.HibernateGroupDAO,13,0,12,68,143,83,1,yes
com.logicaldoc.core.security.dao.HibernateGroupDAOTest,11,0,8,27,86,58,1,no
com.logicaldoc.core.security.dao.HibernateMenuDAO,22,0,29,85,587,65,1,no
com.logicaldoc.core.security.dao.HibernateMenuDAOTest,11,0,21,40,245,0,1,no
com.logicaldoc.core.security.dao.HibernateTenantDAO,21,0,13,69,73,92,1,no
com.logicaldoc.core.security.dao.HibernateUserDAO,31,0,27,83,282,88,1,no
com.logicaldoc.core.security.dao.HibernateUserDAOTest,18,0,13,32,183,51,1,no
com.logicaldoc.core.security.dao.HibernateUserHistoryDAO,14,0,7,63,54,71,1,no
com.logicaldoc.core.security.dao.HibernateUserHistoryDAOTest,10,0,5,24,68,0,1,no
com.logicaldoc.core.security.Group,4,0,12,38,48,88,1,no
com.logicaldoc.core.security.Menu,7,0,25,51,111,91,1,no
com.logicaldoc.core.security.MenuGroup,5,0,17,30,75,80,0,no
com.logicaldoc.core.security.SecurityManagerImpl,24,0,22,35,171,80,0,yes
com.logicaldoc.core.security.SecurityManagerImplTest,10,0,8,27,103,29,1,no
com.logicaldoc.core.security.Session,31,0,33,46,236,92,0,yes
com.logicaldoc.core.security.Session.Log,3,0,5,18,23,60,0,yes
com.logicaldoc.core.security.SessionManager,19,0,26,149,212,93,0,yes
com.logicaldoc.core.security.SessionManagerTest,4,0,2,21,28,0,1,yes
com.logicaldoc.core.security.spring.AdminPasswdAuthenticationProvider,10,0,3,16,26,0,0,no
com.logicaldoc.core.security.spring.LDAccessDecisionManager,8,0,4,17,32,0,1,yes
com.logicaldoc.core.security.spring.LDAnonymousLoginFilter,12,0,2,15,41,50,1,no
com.logicaldoc.core.security.spring.LDAuthenticationFailureHandler,5,0,1,14,22,0,0,no
com.logicaldoc.core.security.spring.LDAuthenticationProvider,15,0,3,16,49,66,0,no
com.logicaldoc.core.security.spring.LDAuthenticationSuccessHandler,8,0,1,14,25,0,0,no
com.logicaldoc.core.security.spring.LDAuthenticationToken,3,0,7,20,33,85,1,no
com.logicaldoc.core.security.spring.LDSecurityContextRepository,7,0,4,17,34,75,0,yes
com.logicaldoc.core.security.Tenant,5,0,34,60,129,94,1,no
com.logicaldoc.core.security.User,11,0,79,105,333,97,1,yes
com.logicaldoc.core.security.UserHistory,1,0,0,68,7,0,2,no
com.logicaldoc.core.security.UserListenerManager,10,0,2,15,45,25,0,no
com.logicaldoc.core.sequence.HibernateSequenceDAO,10,0,7,63,85,0,1,no
com.logicaldoc.core.sequence.HibernateSequenceDAOTest,4,0,4,23,39,0,1,no
com.logicaldoc.core.sequence.Sequence,3,0,8,34,29,75,1,no
com.logicaldoc.core.stats.StatsCollector,34,0,22,70,388,88,1,yes
com.logicaldoc.core.store.FSStorer,27,0,21,34,223,74,0,no
com.logicaldoc.core.system.SystemLoadMonitor,8,0,9,22,80,81,0,no
com.logicaldoc.core.system.SystemLoadMonitor.LoadTracker,6,0,2,88,36,0,0,no
com.logicaldoc.core.SystemInfo,16,0,41,54,194,95,0,no
com.logicaldoc.core.SystemInfoTest,2,0,1,20,8,0,1,no
com.logicaldoc.core.task.Task,39,6,35,48,249,91,0,no
com.logicaldoc.core.task.TaskManager,14,0,4,17,48,50,0,no
com.logicaldoc.core.task.TaskScheduling,13,0,37,50,188,88,0,yes
com.logicaldoc.core.task.TaskTrigger,7,0,57,70,208,97,1,yes
com.logicaldoc.core.ticket.HibernateTicketDAO,16,0,10,66,98,75,1,no
com.logicaldoc.core.ticket.HibernateTicketDAOTest,6,0,7,26,66,0,1,no
com.logicaldoc.core.ticket.Ticket,2,0,18,44,64,90,1,yes
com.logicaldoc.core.transfer.InMemoryZipImport,19,0,2,22,49,50,1,yes
com.logicaldoc.core.transfer.ZipExport,31,0,9,22,173,68,0,no
com.logicaldoc.core.transfer.ZipImport,31,1,7,20,105,69,0,yes
com.logicaldoc.core.util.IconSelector,1,0,2,15,50,0,0,yes
com.logicaldoc.core.util.UserUtil,6,0,3,16,34,0,0,no
com.logicaldoc.dropbox.AbstractDropBoxTCase,17,0,7,20,96,69,0,no
com.logicaldoc.dropbox.Dropbox,11,0,13,26,115,80,0,no
com.logicaldoc.dropbox.DropboxDataServlet,13,0,1,14,65,50,1,no
com.logicaldoc.dropbox.DropboxPlugin,8,0,1,30,16,100,2,no
com.logicaldoc.dropbox.DropboxServiceImpl,38,0,10,23,234,75,1,no
com.logicaldoc.dropbox.DropBoxTestBench,12,0,2,15,27,0,0,no
com.logicaldoc.dropbox.SessionUtil,7,0,4,17,22,75,0,no
com.logicaldoc.gui.common.client.beans.GUIArchive,3,0,31,44,123,96,0,no
com.logicaldoc.gui.common.client.beans.GUIAttribute,10,0,32,45,170,94,0,no
com.logicaldoc.gui.common.client.beans.GUIAttributeSet,5,0,16,29,79,88,0,no
com.logicaldoc.gui.common.client.beans.GUIBarcodeEngine,2,0,8,21,30,80,0,no
