CBO,WMC,SLOC,Output
2,11,48,Accuracy
5,43,152,Gmean1
2,32,112,Accuracy
1,8,30,Accuracy
1,1,19,Accuracy
1,1,13,Accuracy
3,3,60,Accuracy
1,2,8,Accuracy
1,1,7,Accuracy
1,1,8,Accuracy
3,3,50,Accuracy
8,11,84,Accuracy
6,4,99,Accuracy
10,4,72,Accuracy
9,3,58,Accuracy
9,7,95,Accuracy
1,3,16,Accuracy
3,2,34,Accuracy
12,3,113,Gmean1
12,7,181,Gmean1
8,1,172,Accuracy
10,8,216,Accuracy
6,2,71,Accuracy
8,2,118,Accuracy
13,12,152,Gmean1
2,2,56,Accuracy
15,4,275,Gmean1
6,1,61,Accuracy
12,4,132,Gmean1
10,1,123,Accuracy
6,3,68,Accuracy
12,2,255,Accuracy
24,7,118,Gmean1
11,5,195,Accuracy
8,5,55,Accuracy
19,10,358,Accuracy
2,3,11,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,3,54,Accuracy
1,7,90,Accuracy
13,22,211,Accuracy
6,3,23,Accuracy
7,1,8,Accuracy
7,3,44,Accuracy
9,3,39,Accuracy
14,2,29,Gmean1
19,9,124,Accuracy
5,3,24,Accuracy
5,1,17,Accuracy
7,2,40,Accuracy
10,4,55,Accuracy
22,7,95,Gmean1
13,1,49,Gmean1
15,1,51,Gmean1
13,1,45,Gmean1
23,1,104,Gmean1
22,1,62,Gmean1
17,6,53,Gmean1
15,7,51,Gmean1
6,1,28,Accuracy
1,2,8,Accuracy
9,114,428,Accuracy
2,6,22,Accuracy
0,6,22,Accuracy
14,55,282,Accuracy
7,3,27,Accuracy
2,19,113,Accuracy
21,6,67,Gmean1
12,6,92,Accuracy
16,10,109,Gmean1
20,12,231,Accuracy
1,4,17,Accuracy
17,25,173,Gmean1
2,1,24,Accuracy
50,66,1237,Gmean1
4,1,8,Accuracy
11,26,158,Fmes
1,8,30,Accuracy
5,5,36,Accuracy
12,3,39,Accuracy
11,2,31,Accuracy
29,11,129,Gmean1
2,7,23,Accuracy
11,7,99,Accuracy
2,11,49,Accuracy
11,21,245,Accuracy
19,26,212,Accuracy
27,21,223,Gmean1
31,7,105,Accuracy
2,8,34,Accuracy
7,77,293,Accuracy
1,32,115,Gmean1
4,12,44,Accuracy
5,16,79,Accuracy
4,27,114,Accuracy
0,1,16,Accuracy
0,1,12,Accuracy
1,1,14,Accuracy
0,1,12,Accuracy
0,1,11,Accuracy
1,1,14,Accuracy
1,1,15,Accuracy
2,1,20,Accuracy
3,1,8,Accuracy
4,6,170,Accuracy
1,1,7,Accuracy
6,3,53,Accuracy
6,3,41,Accuracy
5,2,28,Accuracy
22,4,207,Accuracy
11,4,128,Accuracy
2,1,37,Accuracy
8,4,82,Accuracy
2,1,51,Accuracy
9,3,88,Accuracy
9,4,129,Accuracy
2,1,70,Accuracy
6,2,45,Accuracy
12,7,268,Accuracy
5,4,124,Accuracy
6,2,48,Accuracy
14,8,248,Accuracy
7,2,140,Accuracy
12,12,385,Accuracy
9,6,210,Accuracy
20,5,212,Accuracy
8,6,65,Accuracy
17,12,124,Accuracy
19,7,197,Gmean1
4,2,27,Accuracy
8,5,155,Accuracy
11,1,88,Gmean1
10,1,74,Accuracy
2,1,37,Accuracy
7,2,77,Accuracy
18,7,292,Gmean1
10,2,37,Accuracy
5,12,128,Accuracy
1,1,40,Accuracy
1,1,40,Accuracy
2,2,16,Accuracy
17,18,172,Accuracy
16,16,126,Fmes
3,2,8,Accuracy
8,2,23,Accuracy
6,2,18,Accuracy
6,4,28,Accuracy
0,1,4,Accuracy
1,2,10,Accuracy
23,3,63,Gmean1
3,2,22,Accuracy
0,1,12,Accuracy
10,12,100,Accuracy
10,1,20,Accuracy
5,6,26,Accuracy
2,10,40,Accuracy
4,6,45,Accuracy
11,10,146,Accuracy
10,8,31,Accuracy
9,4,33,Accuracy
13,9,78,Accuracy
11,1,25,Accuracy
77,73,1805,Accuracy
16,14,411,Accuracy
26,20,204,Accuracy
6,18,74,Accuracy
3,15,69,Accuracy
2,7,25,Accuracy
10,2,18,Accuracy
5,32,123,Gmean1
10,7,59,Accuracy
12,1,49,Accuracy
23,17,124,Gmean1
18,8,155,Accuracy
24,2,53,Gmean1
12,6,49,Accuracy
8,6,30,Accuracy
2,9,34,Accuracy
7,8,44,Accuracy
34,21,343,Accuracy
1,2,9,Accuracy
4,4,39,Accuracy
8,1,16,Accuracy
7,44,192,Gmean1
0,10,39,Accuracy
3,12,46,Accuracy
5,16,65,Accuracy
2,28,102,Accuracy
3,21,86,Accuracy
6,41,161,Accuracy
3,1,29,Accuracy
0,1,27,Accuracy
2,1,23,Accuracy
0,1,20,Accuracy
2,1,18,Accuracy
20,27,187,Accuracy
5,1,20,Accuracy
1,2,23,Accuracy
8,1,31,Accuracy
3,1,33,Accuracy
9,2,47,Accuracy
8,1,85,Accuracy
4,4,61,Accuracy
10,3,152,Accuracy
8,4,94,Accuracy
24,26,221,Accuracy
20,6,266,Accuracy
16,2,163,Accuracy
5,2,38,Accuracy
9,1,57,Accuracy
12,3,93,Accuracy
11,2,161,Accuracy
1,3,15,Accuracy
7,3,73,Accuracy
7,1,65,Accuracy
10,4,182,Accuracy
3,2,9,Accuracy
10,9,168,Accuracy
9,5,87,Accuracy
7,3,64,Accuracy
9,2,159,Accuracy
18,8,591,Accuracy
8,1,66,Accuracy
10,3,69,Accuracy
12,23,203,Fmes
9,2,121,Accuracy
1,28,100,Gmean1
16,1,35,Accuracy
2,3,22,Accuracy
2,3,22,Accuracy
2,2,16,Accuracy
1,1,40,Accuracy
2,2,16,Accuracy
2,2,19,Accuracy
23,5,120,Gmean1
3,1,17,Accuracy
14,7,84,Accuracy
2,1,15,Accuracy
17,1,49,Accuracy
20,1,99,Balance
14,1,60,Accuracy
16,1,55,Accuracy
1,1,5,Accuracy
27,7,164,Accuracy
4,7,31,Accuracy
1,2,8,Accuracy
1,2,9,Accuracy
9,8,80,Accuracy
2,4,26,Accuracy
10,18,110,Accuracy
12,26,150,Accuracy
3,2,15,Accuracy
28,25,419,Accuracy
4,8,70,Accuracy
19,12,65,Gmean1
5,4,36,Accuracy
11,10,135,Accuracy
2,18,64,Accuracy
4,10,49,Accuracy
17,10,76,Gmean1
15,6,68,Balance
7,11,89,Accuracy
5,2,14,Accuracy
22,3,59,Accuracy
8,3,16,Accuracy
7,1,38,Accuracy
21,13,73,Gmean1
5,17,75,Accuracy
6,7,66,Accuracy
4,27,98,Gmean1
5,48,174,Balance
10,83,362,Accuracy
1,6,24,Accuracy
2,1,16,Accuracy
1,1,13,Balance
0,1,19,Accuracy
3,1,13,Accuracy
0,1,16,Accuracy
1,1,13,Accuracy
37,73,864,Balance
1,1,6,Accuracy
1,3,24,Accuracy
8,4,93,Accuracy
5,9,61,Accuracy
2,1,47,Accuracy
5,2,43,Accuracy
7,3,36,Accuracy
12,6,135,Accuracy
12,2,71,Accuracy
10,5,175,Accuracy
6,3,87,Accuracy
4,2,37,Accuracy
5,1,89,Accuracy
20,6,289,Accuracy
5,2,31,Accuracy
16,12,93,Accuracy
8,1,65,Accuracy
6,1,21,Accuracy
11,6,163,Accuracy
3,2,21,Accuracy
12,4,139,Accuracy
9,3,104,Accuracy
8,8,129,Accuracy
3,1,14,Accuracy
14,4,166,Fmes
13,3,84,Accuracy
15,4,190,Balance
12,1,102,Accuracy
15,4,178,Balance
10,2,314,Accuracy
4,2,37,Accuracy
2,2,43,Accuracy
12,5,70,Accuracy
3,4,39,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
1,2,11,Accuracy
7,16,299,Accuracy
18,11,176,Accuracy
9,7,73,Accuracy
7,8,46,Accuracy
5,3,18,Accuracy
9,2,16,Accuracy
14,5,91,Gmean1
43,25,400,Precision
6,4,32,Accuracy
4,1,10,Accuracy
22,5,128,Accuracy
23,1,76,Gmean2
11,1,69,Gmean1
17,1,48,Gmes
24,3,89,Accuracy
23,6,167,Gmean1
52,14,596,Accuracy
9,4,41,Accuracy
15,11,220,Accuracy
25,4,79,Balance
8,52,245,Accuracy
2,11,45,Accuracy
8,13,121,Accuracy
6,4,44,Accuracy
7,4,16,Accuracy
12,4,68,Accuracy
21,5,79,Accuracy
5,8,83,Accuracy
8,4,39,Accuracy
19,12,57,Balance
1,3,14,Accuracy
12,33,129,Precision
6,14,74,Accuracy
9,2,22,Accuracy
4,3,15,Accuracy
10,4,49,Accuracy
2,15,52,Accuracy
32,46,700,Accuracy
12,5,66,Accuracy
12,6,73,Accuracy
18,10,98,Accuracy
10,6,62,Accuracy
1,8,30,Accuracy
4,5,30,Accuracy
9,1,12,Accuracy
6,1,13,Accuracy
4,26,93,Accuracy
16,11,90,Gmean2
8,1,52,Accuracy
11,6,39,Accuracy
10,5,68,Accuracy
10,2,45,Accuracy
10,7,85,Accuracy
3,8,29,Accuracy
38,10,234,Precision
5,54,201,Accuracy
2,10,37,Accuracy
2,9,37,Accuracy
4,59,213,Accuracy
1,0,80,Accuracy
3,1,24,Accuracy
0,1,21,Accuracy
0,1,18,Accuracy
3,3,29,Accuracy
2,1,31,Accuracy
2,1,17,Accuracy
5,1,15,Accuracy
5,20,68,Gmean1
2,2,33,Accuracy
