CBO,SLOC,DIT,Output
2,31,0,Balance
0,9,0,Balance
1,13,0,Balance
27,113,1,Balance
18,94,1,Accuracy
5,61,0,Gmean2
30,170,0,Balance
8,55,0,Balance
4,37,0,Balance
5,107,0,Balance
8,29,3,Balance
8,29,3,Balance
5,46,3,Balance
1,33,0,Balance
1,12,1,Balance
1,12,0,Balance
1,40,0,Balance
9,89,1,Accuracy
6,81,2,Accuracy
28,610,0,Balance
8,70,1,Accuracy
5,17,0,Gmean2
20,114,0,Balance
14,74,1,Balance
8,36,2,Balance
2,30,1,Balance
19,115,1,Balance
10,84,0,Balance
1,43,0,Balance
29,219,0,Balance
2,13,1,Balance
5,176,1,Balance
8,100,0,Balance
2,44,1,Balance
3,7,0,Accuracy
3,18,0,Accuracy
4,18,0,Accuracy
2,15,0,Balance
20,87,1,Accuracy
10,28,0,Precision
8,61,0,Balance
13,110,1,Balance
3,34,0,Accuracy
6,56,2,Balance
1,19,1,Balance
4,76,0,Gmean1
6,164,1,Balance
1,12,0,Balance
3,9,0,Balance
14,76,0,Balance
4,26,1,Balance
7,29,1,Balance
9,81,2,Accuracy
1,3,0,Balance
5,14,1,Balance
17,987,0,Balance
7,118,1,Balance
1,6,0,Balance
6,58,0,Fmes
16,102,0,Balance
38,272,0,Gmean2
8,15,1,Balance
10,21,0,Balance
2,69,0,Balance
24,140,0,Balance
12,52,2,Balance
5,22,1,Accuracy
6,31,2,Balance
0,22,1,Balance
0,22,1,Balance
10,52,1,Balance
1,7,0,Balance
2,24,0,Balance
9,67,0,Balance
9,587,1,Balance
4,153,0,Balance
5,120,2,Balance
0,22,1,Balance
0,14,0,Balance
11,102,0,Precision
7,51,0,Balance
16,334,0,Balance
5,83,0,Gmean2
19,278,0,Balance
12,139,0,Balance
10,115,1,Balance
9,51,0,Balance
7,50,0,Balance
10,86,0,Precision
9,55,0,Balance
11,55,1,Balance
6,64,0,Balance
10,65,3,Accuracy
8,27,3,Balance
9,29,3,Balance
4,16,3,Balance
8,121,2,Balance
7,15,1,Balance
15,141,0,Balance
1,12,0,Balance
6,12,1,Balance
6,44,1,Balance
14,136,0,Balance
4,19,0,Accuracy
4,30,0,Balance
1,9,0,Balance
3,35,2,Balance
1,8,2,Balance
3,40,0,Accuracy
2,25,0,Balance
7,124,0,Precision
13,208,0,Balance
1,5,0,Balance
4,21,0,Accuracy
9,63,0,Balance
1,27,0,Balance
2,18,2,Balance
1,11,0,Balance
4,67,0,Balance
3,18,0,Accuracy
4,18,1,Balance
11,158,1,Balance
10,69,0,Balance
9,111,0,Balance
4,33,1,Balance
2,12,1,Balance
6,44,0,Balance
8,47,0,Balance
3,24,1,Balance
9,619,1,Gmean1
4,82,0,Gmean2
6,13,0,Gmean2
6,33,0,Balance
6,28,1,Balance
1,8,2,Balance
3,28,0,Accuracy
22,112,0,Balance
2,125,1,Balance
4,34,0,Gmean2
9,59,0,Balance
4,15,2,Balance
35,346,0,Balance
12,69,0,Balance
29,94,1,Accuracy
6,16,0,Gmean2
2,13,0,Balance
26,76,0,Precision
27,142,0,Balance
5,36,0,Gmean2
2,16,1,Balance
8,116,0,Balance
8,92,0,Balance
6,41,0,Gmean2
18,307,1,Accuracy
6,36,0,Balance
4,12,1,Balance
